SECTION, KEYWORD, DESCRIPTION
data.definitions.and.schemas                  ,   datadef.yamlrec                ,    SimpleRecord yaml syntax                                                                                                      
data.processing.operations                    ,   datamunge.json_munge           ,    dump a variable out to json and load it back in from json                                                                     
data.processing.operations                    ,   datamunge.dec_base_64          ,    decode base64 format                                                                                                          
data.processing.operations                    ,   datamunge.dec_htmlent          ,    decode HTMLEnt format                                                                                                         
data.processing.operations                    ,   datamunge.dec_jscript          ,    decode jscript_url_style escaping                                                                                             
data.processing.operations                    ,   datamunge.dec_rot_13           ,    decode rot13 format                                                                                                           
data.processing.operations                    ,   datamunge.enc_base_64          ,    encode base64 format                                                                                                          
data.processing.operations                    ,   datamunge.enc_htmlent          ,    encode HTMLEnt format                                                                                                         
data.processing.operations                    ,   datamunge.enc_jscript          ,    encode jscript_url_style escaping                                                                                             
data.processing.operations                    ,   datamunge.enc_rot_13           ,    encode rot13 format                                                                                                           
date.and.time.operations                      ,   datetime.2date_fmt             ,    specify a string like Fri Sep 9 13.46.58 2005 (perl localtime() in scalar context)                                            
date.and.time.operations                      ,   datetime.date                  ,    current system Date of the Month                                                                                              
date.and.time.operations                      ,   datetime.datem                 ,    specify a string like Fri 2005-08-26 13.23.03 (preferred)                                                                     
date.and.time.operations                      ,   datetime.day_of_week           ,    current system Day of the week                                                                                                
date.and.time.operations                      ,   datetime.month                 ,    current system Month                                                                                                          
date.and.time.operations                      ,   datetime.now                   ,    current system time and date                                                                                                  
date.and.time.operations                      ,   datetime.time_millisec         ,    return the current time with millisecond accuracy (for timestamps)                                                            
date.and.time.operations                      ,   datetime.year                  ,    current system Year                                                                                                           
error.trapping.and.exceptions                 ,   error.arr_bounds               ,    array index out of range                                                                                                      
error.trapping.and.exceptions                 ,   error.dict_keyex               ,    dictionary key does not exist                                                                                                 
error.trapping.and.exceptions                 ,   error.warnings                 ,    enable or disable warnings                                                                                                    
filesystem.operations                         ,   filesys.basename               ,    get file basename from path                                                                                                   
filesystem.operations                         ,   filesys.copy                   ,    Copy a file or directory                                                                                                      
filesystem.operations                         ,   filesys.delete                 ,    Delete a file or directory                                                                                                    
filesystem.operations                         ,   filesys.deltree                ,    delete a directory tree                                                                                                       
filesystem.operations                         ,   filesys.dir_exists             ,    true if a directory exists                                                                                                    
filesystem.operations                         ,   filesys.exten                  ,    get file extension from full path                                                                                             
filesystem.operations                         ,   filesys.file_exists            ,    true if a file exists                                                                                                         
filesystem.operations                         ,   filesys.file_size              ,    return file size as an integer (usu in bytes)                                                                                 
filesystem.operations                         ,   filesys.loop_dir               ,    loop over files within a directory                                                                                            
filesystem.operations                         ,   filesys.loop_tree              ,    recursively iterate files within a directory tree                                                                             
filesystem.operations                         ,   filesys.mkpath                 ,    create directory even if there is more than one missing pathstep                                                              
filesystem.operations                         ,   filesys.move                   ,    Move a file or directory                                                                                                      
filesystem.operations                         ,   filesys.parent_dir             ,    get file parent dir from a full path                                                                                          
filesystem.operations                         ,   filesys.rename                 ,    Rename a file or directory                                                                                                    
function.arguments                            ,   funcarg.arg_array              ,    specify an array that holds multiple args                                                                                     
function.arguments                            ,   funcarg.arr                    ,    array declare a function argument                                                                                             
function.arguments                            ,   funcarg.boo                    ,    boolean declare a function argument                                                                                           
function.arguments                            ,   funcarg.defval                 ,    specify function parameters argument default value                                                                            
function.arguments                            ,   funcarg.int                    ,    integer declare a function argument                                                                                           
function.arguments                            ,   funcarg.obj                    ,    object declare a function argument                                                                                            
function.arguments                            ,   funcarg.opt_arg                ,    specify an optional parameter                                                                                                 
function.arguments                            ,   funcarg.passfunc               ,    pass a function as an argument                                                                                                
function.arguments                            ,   funcarg.passobj                ,    pass an object or dictionary that holds multiple args                                                                         
function.arguments                            ,   funcarg.req_arg                ,    specify a required parameter                                                                                                  
function.arguments                            ,   funcarg.str                    ,    string declare a function argument                                                                                            
function.definitions                          ,   funcdef.1func                  ,    sml syntax declare a function                                                                                                 
